Facility,State,name,Date,Source,cases,staffcases,deaths,staffdeaths,pop,currentpop,lat,lon
state,Alabama,LIMESTONE CORRECTIONAL FACILITY,4/23/2021,http://www.doc.alabama.gov/covid19news,153,106,4,0,2107,,34.81254392,-86.80413307
state,Alabama,LOXLEY COMMUNITY BASED FACILITY,4/23/2021,http://www.doc.alabama.gov/covid19news,106,14,0,0,356,,30.6153358,-87.77030984
state,Alabama,MOBILE COMMUNITY BASED FACILITY,4/23/2021,http://www.doc.alabama.gov/covid19news,14,21,0,0,192,,30.73788106,-88.10905742
federal,Alabama,MONTGOMERY FEDERAL PRISON CAMP,4/23/2021,https://www.bop.gov/mobile/about/population_statistics.jsp,107,,0,0,858,334,32.39424124,-86.35915818
state,Alabama,MONTGOMERY WOMENS FACILITY,4/23/2021,http://www.doc.alabama.gov/covid19news,1,11,0,0,274,,32.38964157,-86.09912245
state,Alabama,NORTH ALABAMA COMMUNITY BASED FACILITY,4/23/2021,http://www.doc.alabama.gov/covid19news,87,30,0,0,555,,34.61756728,-87.00562813
state,Alabama,RED EAGLE COMMUNITY BASED FACILITY,4/23/2021,http://www.doc.alabama.gov/covid19news,18,20,0,0,333,,32.46559439,-86.23690422
federal,Alabama,RRC BIRMINGHAM ALABAMA,4/23/2021,https://www.bop.gov/coronavirus/,4,,0,0,,,,
federal,Alabama,RRC SPANISH FORT ALABAMA,4/23/2021,https://www.bop.gov/coronavirus/,2,,0,0,,,,
state,Alabama,ST CLAIR CORRECTIONAL FACILITY,4/23/2021,http://www.doc.alabama.gov/covid19news,106,58,16,0,964,,33.74558817,-86.38437373
state,Alabama,STATON CORRECTIONAL FACILITY,4/23/2021,http://www.doc.alabama.gov/covid19news,60,61,7,0,1303,,32.5772157,-86.33248852
federal,Alabama,TALLADEGA FEDERAL CORRECTIONAL INSTITUTION,4/23/2021,https://www.bop.gov/mobile/about/population_statistics.jsp,293,,4,0,793,839,33.42063528,-86.14008892
state,Alabama,TUTWILER PRISON FOR WOMEN,4/23/2021,http://www.doc.alabama.gov/covid19news,82,71,3,2,565,,32.5640382,-86.1940048
state,Alabama,TUTWILER QUARANTINE INTAKE FACILITY,4/23/2021,http://www.doc.alabama.gov/covid19news,35,0,0,0,,,,
state,Alabama,VENTRESS CORRECTIONAL FACILITY,4/23/2021,http://www.doc.alabama.gov/covid19news,77,46,1,0,1245,,31.88902864,-85.49299808
state,Alaska,ANCHORAGE CCC,4/23/2021,https://doc.alaska.gov/covid-19,,,,,832,,61.21842095,-149.8562424
state,Alaska,GOOSE CREEK CC,4/23/2021,https://doc.alaska.gov/covid-19,,,,,1125,,61.36030624,-150.0084479
state,Alaska,LEMON CREEK CC JUNEAU,4/23/2021,https://doc.alaska.gov/covid-19,,,,,209,,58.36260637,-134.4840555
state,Alaska,STATEWIDE,4/23/2021,https://doc.alaska.gov/covid-19,2404,,5,,,,,
federal,Arizona,BEHAVIORAL SYSTEMS SOUTHWEST INC RRC PHOENIX,4/23/2021,https://www.bop.gov/coronavirus/,3,,1,0,,,33.4588091,-112.0198483
state,Arizona,CENTRAL ARIZONA CORRECTIONAL FACILITY,4/23/2021,https://corrections.az.gov/adcrr-covid-19-dashboard?order=title_field&sort=asc,69,,3,,1273,1278,33.03731012,-111.3727528
federal,Arizona,CENTRAL ARIZONA FLORENCE CORRECTIONAL COMPLEX,4/23/2021,https://www.bop.gov/coronavirus/,2,,0,0,1278,,33.04417322,-111.3754981
federal,Arizona,DISMAS CHARITIES RRC TUCSON,4/23/2021,https://www.bop.gov/coronavirus/,10,,0,0,,,32.1848502,-110.9184934
state,Arizona,DOUGLAS STATE PRISON,4/23/2021,https://corrections.az.gov/adcrr-covid-19-dashboard?order=title_field&sort=asc,1163,,0,,2086,1804,31.46242829,-109.5912299
state,Arizona,EYMAN STATE PRISON,4/23/2021,https://corrections.az.gov/adcrr-covid-19-dashboard?order=title_field&sort=asc,2029,,10,,5693,5211,33.03691871,-111.3264441
state,Arizona,FLORENCE STATE PRISON,4/23/2021,https://corrections.az.gov/adcrr-covid-19-dashboard?order=title_field&sort=asc,441,,13,,3924,2696,33.02816949,-111.3707281
state,Arizona,FLORENCE WEST STATE PRISON,4/23/2021,https://corrections.az.gov/adcrr-covid-19-dashboard?order=title_field&sort=asc,45,,0,,742,576,33.037233,-111.376527
state,Arizona,KINGMAN STATE PRISON,4/23/2021,https://corrections.az.gov/adcrr-covid-19-dashboard?order=title_field&sort=asc,653,,5,,3360,2574,35.02891497,-114.1796097
state,Arizona,LEWIS STATE PRISON,4/23/2021,https://corrections.az.gov/adcrr-covid-19-dashboard?order=title_field&sort=asc,1303,,2,,4623,4540,33.2085241,-112.6514629
state,Arizona,MARANA STATE PRISON,4/23/2021,https://corrections.az.gov/adcrr-covid-19-dashboard?order=title_field&sort=asc,22,,0,,487,339,32.41791032,-111.2412161
county,Arizona,MARICOPA COUNTY JAIL,4/23/2021,https://www.maricopa.gov/5574/COVID-19-in-County-Jails,2724,,0,,5306,,33.44552,-112.0784
state,Arizona,MARICOPA REEENTRY CENTER,4/23/2021,https://corrections.az.gov/adcrr-covid-19-dashboard?order=title_field&sort=asc,0,,0,,62,0,33.70669655,-112.1194385
state,Arizona,PERRYVILLE STATE PRISON,4/23/2021,https://corrections.az.gov/adcrr-covid-19-dashboard?order=title_field&sort=asc,381,,1,,4336,3483,33.47038654,-112.4377658
federal,Arizona,PHOENIX FEDERAL CORRECTIONAL INSTITUTION,4/23/2021,https://www.bop.gov/mobile/about/population_statistics.jsp,471,,1,0,,849,33.8328213,-112.1706131
state,Arizona,PHOENIX STATE PRISON,4/23/2021,https://corrections.az.gov/adcrr-covid-19-dashboard?order=title_field&sort=asc,652,,0,,544,537,33.45312989,-112.0250399
state,Arizona,PHOENIX WEST STATE PRISON,4/23/2021,https://corrections.az.gov/adcrr-covid-19-dashboard?order=title_field&sort=asc,44,,1,,498,470,33.43277711,-112.1326085
state,Arizona,PIMA REENTRY CENTER,4/23/2021,https://corrections.az.gov/adcrr-covid-19-dashboard?order=title_field&sort=asc,0,,0,,72,0,32.2037634,-110.9909333
state,Arizona,RED ROCK STATE PRISON,4/23/2021,https://corrections.az.gov/adcrr-covid-19-dashboard?order=title_field&sort=asc,119,,0,,1956,1974,32.81056,-111.5196
federal,Arizona,SAFFORD FEDERAL CORRECTIONAL INSTITUTION,4/23/2021,https://www.bop.gov/mobile/about/population_statistics.jsp,597,,0,0,,768,32.7171048,-109.7271215
state,Arizona,SAFFORD STATE PRISON,4/23/2021,https://corrections.az.gov/adcrr-covid-19-dashboard?order=title_field&sort=asc,846,,0,,1579,1148,32.82810149,-109.5636396
state,Arizona,STATEWIDE,4/23/2021,https://corrections.az.gov/adcrr-covid-19-dashboard?order=title_field&sort=asc,,2758,,,,,,
federal,Arizona,TUCSON FEDERAL CORRECTIONAL INSTITUTION,4/23/2021,https://www.bop.gov/mobile/about/population_statistics.jsp,128,,0,0,630,210,32.08957049,-110.8562398
state,Arizona,TUCSON STATE PRISON,4/23/2021,https://corrections.az.gov/adcrr-covid-19-dashboard?order=title_field&sort=asc,2241,,13,,5132,4647,32.06640097,-110.8663122
federal,Arizona,TUCSON UNITED STATES PENITENTIARY,4/23/2021,https://www.bop.gov/mobile/about/population_statistics.jsp,872,,11,0,1385,1257,32.08384226,-110.867108
state,Arizona,WINSLOW STATE PRISON,4/23/2021,https://corrections.az.gov/adcrr-covid-19-dashboard?order=title_field&sort=asc,246,,0,,1295,1128,34.98471625,-110.7210891
state,Arizona,YUMA STATE PRISON,4/23/2021,https://corrections.az.gov/adcrr-covid-19-dashboard?order=title_field&sort=asc,2014,,6,,4876,4174,32.48750181,-114.6397153
federal,Arkansas,CITY FAITH LITTLE ROCK AR,4/23/2021,https://www.bop.gov/coronavirus/,1,,0,0,,,34.739751,-92.344458
federal,Arkansas,FORREST CITY LOW FEDERAL CORRECTIONAL INSTITUTION,4/23/2021,https://www.bop.gov/mobile/about/population_statistics.jsp,577,,0,0,1821,1193,34.98233926,-90.80306156
federal,Arkansas,FORREST CITY MEDIUM FEDERAL CORRECTIONAL INSTITUTION,4/23/2021,https://www.bop.gov/mobile/about/population_statistics.jsp,422,,2,0,1821,1330,34.98233926,-90.80306156
state,Arkansas,STATEWIDE,4/23/2021,https://doc.arkansas.gov/covid-19-updates/,11285,,,,,,,
federal,California,ATWATER UNITED STATES PENITENTIARY,4/23/2021,https://www.bop.gov/mobile/about/population_statistics.jsp,385,,0,0,,861,,
state,California,AVENAL STATE PRISON,4/23/2021,https://www.cdcr.ca.gov/covid19/cdcr-cchcs-covid-19-status/,3107,536,8,,4204,3093,35.97394934,-120.1231018
federal,California,BEHAVIORAL SYSTEMS SOUTHWEST RUBIDOUX,4/23/2021,https://www.bop.gov/coronavirus/,6,,0,0,,,,
federal,California,BEHAVIORAL SYSTEMS SOUTHWEST VAN NUYS,4/23/2021,https://www.bop.gov/coronavirus/,5,,0,0,,,,
federal,California,BRAWLEY RRC,4/23/2021,https://www.bop.gov/coronavirus/,7,,1,0,,,32.979598,-115.5328039
state,California,CALIFORNIA CITY CORRECTIONAL FACILITY,4/23/2021,https://www.cdcr.ca.gov/covid19/cdcr-cchcs-covid-19-status/,999,233,2,,2424,1963,35.1532512,-117.8588801
state,California,CALIFORNIA CORRECTIONAL CENTER,4/23/2021,https://www.cdcr.ca.gov/covid19/cdcr-cchcs-covid-19-status/,1365,300,0,,4049,2097,40.40195801,-120.5167302
state,California,CALIFORNIA CORRECTIONAL INSTITUTION,4/23/2021,https://www.cdcr.ca.gov/covid19/cdcr-cchcs-covid-19-status/,1384,657,4,,3696,2946,35.10991489,-118.5703307
state,California,CALIFORNIA HEALTH CARE FACILITY,4/23/2021,https://www.cdcr.ca.gov/covid19/cdcr-cchcs-covid-19-status/,621,661,14,,2849,2464,37.8947278,-121.1848441
state,California,CALIFORNIA INSTITUTION FOR MEN,4/23/2021,https://www.cdcr.ca.gov/covid19/cdcr-cchcs-covid-19-status/,1499,588,27,,3627,1946,33.98471223,-117.6823919
state,California,CALIFORNIA INSTITUTION FOR WOMEN,4/23/2021,https://www.cdcr.ca.gov/covid19/cdcr-cchcs-covid-19-status/,490,362,1,,1619,974,33.94974531,-117.636365
state,California,CALIFORNIA MEDICAL FACILITY,4/23/2021,https://www.cdcr.ca.gov/covid19/cdcr-cchcs-covid-19-status/,710,350,11,,2512,1965,38.32851019,-121.9791645
state,California,CALIFORNIA MENS COLONY,4/23/2021,https://www.cdcr.ca.gov/covid19/cdcr-cchcs-covid-19-status/,2470,538,10,,3758,3002,35.32457413,-120.6989005
state,California,CALIFORNIA REHABILITATION CENTER,4/23/2021,https://www.cdcr.ca.gov/covid19/cdcr-cchcs-covid-19-status/,1993,502,1,,3802,1831,33.92691794,-117.5759442
state,California,CALIFORNIA STATE PRISON CORCORAN,4/23/2021,https://www.cdcr.ca.gov/covid19/cdcr-cchcs-covid-19-status/,1075,735,4,,3043,3104,36.06081823,-119.549121
state,California,CALIFORNIA STATE PRISON LOS ANGELES,4/23/2021,https://www.cdcr.ca.gov/covid19/cdcr-cchcs-covid-19-status/,1511,616,13,,3218,2768,34.69359649,-118.2276136
state,California,CALIFORNIA STATE PRISON SACRAMENTO,4/23/2021,https://www.cdcr.ca.gov/covid19/cdcr-cchcs-covid-19-status/,291,330,1,,2354,2247,38.69444411,-121.1539037
state,California,CALIFORNIA STATE PRISON SAN QUENTIN,4/23/2021,https://www.cdcr.ca.gov/covid19/cdcr-cchcs-covid-19-status/,2242,443,28,,4032,2463,37.94003982,-122.4903665
state,California,CALIFORNIA STATE PRISON SOLANO,4/23/2021,https://www.cdcr.ca.gov/covid19/cdcr-cchcs-covid-19-status/,1150,251,6,,4306,3225,38.32077652,-121.9752369
state,California,CALIPATRIA STATE PRISON,4/23/2021,https://www.cdcr.ca.gov/covid19/cdcr-cchcs-covid-19-status/,1124,363,2,,3109,3039,33.16569337,-115.484344
state,California,CENTINELA STATE PRISON,4/23/2021,https://www.cdcr.ca.gov/covid19/cdcr-cchcs-covid-19-status/,864,439,1,,3475,3110,32.82339731,-115.7890555
state,California,CENTRAL CALIFORNIA WOMENS FACILITY,4/23/2021,https://www.cdcr.ca.gov/covid19/cdcr-cchcs-covid-19-status/,808,277,1,,2814,2381,37.09368073,-120.1527098
state,California,CHUCKAWALLA VALLEY STATE PRISON,4/23/2021,https://www.cdcr.ca.gov/covid19/cdcr-cchcs-covid-19-status/,1784,284,9,,2773,1886,33.56257951,-114.9095058
federal,California,CORRECTIONAL ALTERNATIVES INC RRC SAN DIEGO,4/23/2021,https://www.bop.gov/coronavirus/,5,,0,0,,,,
state,California,CORRECTIONAL TRAINING FACILITY,4/23/2021,https://www.cdcr.ca.gov/covid19/cdcr-cchcs-covid-19-status/,2719,358,19,,5063,4522,36.46964789,-121.3822324
state,California,DEUEL VOCATIONAL INSTITUTION,4/23/2021,https://www.cdcr.ca.gov/covid19/cdcr-cchcs-covid-19-status/,543,293,0,,2052,666,37.74805759,-121.3306264
federal,California,DUBLIN FEDERAL CORRECTIONAL INSTITUTION,4/23/2021,https://www.bop.gov/mobile/about/population_statistics.jsp,281,,0,0,1019,785,37.71857929,-121.896971
state,California,FOLSOM STATE PRISON,4/23/2021,https://www.cdcr.ca.gov/covid19/cdcr-cchcs-covid-19-status/,1369,224,2,,2871,2032,38.69538339,-121.1630324
federal,California,GEO CARE EL MONTE,4/23/2021,https://www.bop.gov/coronavirus/,4,,0,0,,,,
federal,California,GEO CARE LLC RCC SACRAMENTO,4/23/2021,https://www.bop.gov/coronavirus/,0,,,,,,38.5829489,-121.4974335
federal,California,GEO REENTRY OF ALASKA INC RRC OAKLAND,4/23/2021,https://www.bop.gov/coronavirus/,1,,0,0,,,,
federal,California,GEO TAYLOR ST FACILITY RRC,4/23/2021,https://www.bop.gov/coronavirus/,4,,0,0,,,,
federal,California,HERLONG FEDERAL CORRECTIONAL INSTITUTION,4/23/2021,https://www.bop.gov/mobile/about/population_statistics.jsp,263,,0,0,,870,,
state,California,HIGH DESERT STATE PRISON,4/23/2021,https://www.cdcr.ca.gov/covid19/cdcr-cchcs-covid-19-status/,2032,584,2,,3161,3333,40.4034569,-120.5258579
state,California,IRONWOOD STATE PRISON,4/23/2021,https://www.cdcr.ca.gov/covid19/cdcr-cchcs-covid-19-status/,1568,384,1,,2896,2660,33.56098104,-114.9260354
state,California,KERN VALLEY STATE PRISON,4/23/2021,https://www.cdcr.ca.gov/covid19/cdcr-cchcs-covid-19-status/,895,559,6,,3551,3669,35.76647437,-119.3253627
federal,California,LOMPOC FEDERAL CORRECTIONAL INSTITUTION,4/23/2021,https://www.bop.gov/mobile/about/population_statistics.jsp,585,,3,0,1257,825,34.67675537,-120.4994621
federal,California,LOMPOC UNITED STATES PENITENTIARY,4/23/2021,https://www.bop.gov/mobile/about/population_statistics.jsp,244,,2,0,947,759,34.67918746,-120.5054801
county,California,LOS ANGELES JAILS,4/23/2021,https://lasd.org/covid19updates/,4312,2926,13,,17076,15162,34.0591,-118.2321
federal,California,LOS ANGELES MTROPOLITAN DETENTION CENTER,4/23/2021,https://www.bop.gov/mobile/about/population_statistics.jsp,258,,1,0,713,528,34.0536306,-118.238468
federal,California,MENDOTA FEDERAL CORRECTIONAL INSTITUTION,4/23/2021,https://www.bop.gov/mobile/about/population_statistics.jsp,69,,0,0,,797,,
state,California,MULE CREEK STATE PRISON,4/23/2021,https://www.cdcr.ca.gov/covid19/cdcr-cchcs-covid-19-status/,1846,415,9,,4007,3940,38.37074335,-120.9534458
state,California,NA CHADERJIAN YOUTH CORRECTIONAL FACILITY,4/23/2021,https://www.cdcr.ca.gov/covid19/cdcr-cchcs-covid-19-status/,,50,,,216,,37.8911829,-121.1978212
state,California,NORTH KERN STATE PRISON,4/23/2021,https://www.cdcr.ca.gov/covid19/cdcr-cchcs-covid-19-status/,922,628,4,,4355,3240,35.78188512,-119.3098757
state,California,NORTHERN CALIFORNIA YOUTH CORRECTIONAL CENTER,4/23/2021,https://www.cdcr.ca.gov/covid19/cdcr-cchcs-covid-19-status/,,29,,,216,,37.8911829,-121.1978213
state,California,OH CLOSE YOUTH CORRECTIONAL FACILITY,4/23/2021,https://www.cdcr.ca.gov/covid19/cdcr-cchcs-covid-19-status/,,30,,,169,,37.89852126,-121.1976947
county,California,ORANGE COUNTY JAILS,4/23/2021,https://ocsheriff.gov/about-ocsd/covid-19/covid-19-oc-jails,2318,,,,5074,,33.7489556,-117.8774523
state,California,PELICAN BAY STATE PRISON,4/23/2021,https://www.cdcr.ca.gov/covid19/cdcr-cchcs-covid-19-status/,221,208,0,,2648,2165,41.85480851,-124.1490751
state,California,PINE GROVE JUVENILE PRISON CAMP,4/23/2021,https://www.cdcr.ca.gov/covid19/cdcr-cchcs-covid-19-status/,,12,,,,,,
state,California,PLEASANT VALLEY STATE PRISON,4/23/2021,https://www.cdcr.ca.gov/covid19/cdcr-cchcs-covid-19-status/,1990,437,3,,3131,2789,36.13147309,-120.2488996
state,California,RICHARD A MCGEE CORRECTIONAL TRAINING CENTER,4/23/2021,https://www.cdcr.ca.gov/covid19/cdcr-cchcs-covid-19-status/,,102,,,,,38.2890255,-121.3279067
state,California,RJ DONOVAN CORRECTIONAL FACILITY,4/23/2021,https://www.cdcr.ca.gov/covid19/cdcr-cchcs-covid-19-status/,1011,521,18,,3845,3494,32.58456487,-116.9335763
state,California,SALINAS VALLEY STATE PRISON,4/23/2021,https://www.cdcr.ca.gov/covid19/cdcr-cchcs-covid-19-status/,680,609,5,,2917,3099,36.47885699,-121.3743944
federal,California,SAN DIEGO METROPOLITAN CORRECTIONAL CENTER,4/23/2021,https://www.bop.gov/mobile/about/population_statistics.jsp,189,,1,0,,702,,
state,California,SIERRA CONSERVATION CENTER,4/23/2021,https://www.cdcr.ca.gov/covid19/cdcr-cchcs-covid-19-status/,1429,226,0,,4393,2866,37.89168856,-120.5365401
state,California,SUBSTANCE ABUSE TREATMENT FACILITY,4/23/2021,https://www.cdcr.ca.gov/covid19/cdcr-cchcs-covid-19-status/,3011,647,7,,5291,4675,36.05396,-119.5478
federal,California,TERMINAL ISLAND FEDERAL CORRECTIONAL INSTITUTION,4/23/2021,https://www.bop.gov/mobile/about/population_statistics.jsp,419,,10,0,1185,643,33.726491,-118.2670631
state,California,VALLEY STATE PRISON,4/23/2021,https://www.cdcr.ca.gov/covid19/cdcr-cchcs-covid-19-status/,1730,283,2,,2999,2876,37.10547736,-120.1554719
state,California,VENTURA,4/23/2021,https://www.cdcr.ca.gov/covid19/cdcr-cchcs-covid-19-status/,,72,,,,,,
federal,California,VICTORVILLE MEDIUM I FEDERAL CORRECTIONAL INSTITUTION,4/23/2021,https://www.bop.gov/mobile/about/population_statistics.jsp,630,,2,1,,1169,,
federal,California,VICTORVILLE MEDIUM II FEDERAL CORRECTIONAL INSTITUTION,4/23/2021,https://www.bop.gov/mobile/about/population_statistics.jsp,414,,1,0,1216,961,34.56848411,-117.3583145
federal,California,VICTORVILLE UNITED STATES PENITENTIARY,4/23/2021,https://www.bop.gov/mobile/about/population_statistics.jsp,444,,0,0,,1090,,
state,California,WASCO STATE PRISON,4/23/2021,https://www.cdcr.ca.gov/covid19/cdcr-cchcs-covid-19-status/,1762,538,1,,4588,3120,35.59431189,-119.4083319
federal,California,WESTERN REGIONAL OFFICE,4/23/2021,https://www.bop.gov/coronavirus/,,,0,0,,,,
state,Colorado,ARKANSAS VALLEY CORRECTIONAL FACILITY,4/23/2021,https://cdoc.colorado.gov/resources/covid-19-faq-and-updates,943,,4,,1065,951,38.19146827,-103.8421854
state,Colorado,ARROWHEAD CORRECTIONAL FACILITY,4/23/2021,https://cdoc.colorado.gov/resources/covid-19-faq-and-updates,358,,1,,528,384,38.43610328,-105.1590956
state,Colorado,BENT COUNTY CORRECTIONAL FACILITY,4/23/2021,https://cdoc.colorado.gov/resources/covid-19-faq-and-updates,1088,,2,,1400,1079,38.06456309,-103.2047922
state,Colorado,BUENA VISTA CORRECTIONAL COMPLEX,4/23/2021,https://cdoc.colorado.gov/resources/covid-19-faq-and-updates,520,,1,,1212,887,38.82210118,-106.1147135
state,Colorado,CENTENNIAL CORRECTIONAL FACILITY,4/23/2021,https://cdoc.colorado.gov/resources/covid-19-faq-and-updates,161,,0,,306,874,38.43776663,-105.1516726
state,Colorado,COLORADO CORRECTIONAL CENTER,4/23/2021,https://cdoc.colorado.gov/resources/covid-19-faq-and-updates,3,,0,,125,84,39.73493736,-105.171343
state,Colorado,COLORADO STATE PENITENTIARY,4/23/2021,https://cdoc.colorado.gov/resources/covid-19-faq-and-updates,156,,0,,700,683,38.44080528,-105.1580096
state,Colorado,COLORADO TERRITORIAL CORRECTIONAL FACILITY,4/23/2021,https://cdoc.colorado.gov/resources/covid-19-faq-and-updates,576,,5,,951,611,38.43802317,-105.2486951
state,Colorado,CROWLEY COUNTY CORRECTIONAL FACILITY,4/23/2021,https://cdoc.colorado.gov/resources/covid-19-faq-and-updates,861,,1,,1826,1505,38.15673868,-103.9573023
state,Colorado,DELTA CORRECTIONAL FACILITY,4/23/2021,https://cdoc.colorado.gov/resources/covid-19-faq-and-updates,157,,0,,703,230,38.70911617,-108.1486112
state,Colorado,DENVER RECEPTION DIAGNOSTIC CENTER,4/23/2021,https://cdoc.colorado.gov/resources/covid-19-faq-and-updates,41,,1,,584,482,39.76677716,-104.8608026
state,Colorado,DENVER WOMENS CORRECTIONAL FACILITY,4/23/2021,https://cdoc.colorado.gov/resources/covid-19-faq-and-updates,136,,0,,921,598,39.76510225,-104.860784
federal,Colorado,ENGLEWOOD FEDERAL CORRECTIONAL INSTITUTION,4/23/2021,https://www.bop.gov/mobile/about/population_statistics.jsp,632,,0,0,637,837,39.64192027,-105.1055266
federal,Colorado,FLORENCE ADMAX UNITED STATES PENITENTIARY,4/23/2021,https://www.bop.gov/mobile/about/population_statistics.jsp,5,,0,0,,353,38.3590017,-105.0990742
federal,Colorado,FLORENCE FEDERAL CORRECTIONAL INSTITUTION,4/23/2021,https://www.bop.gov/mobile/about/population_statistics.jsp,741,,2,0,,917,38.3614648,-105.1090225
federal,Colorado,FLORENCE HIGH UNITED STATES PENITENTIARY,4/23/2021,https://www.bop.gov/mobile/about/population_statistics.jsp,414,,2,0,,721,38.3603393,-105.099264
state,Colorado,FOUR MILE CORRECTIONAL FACILITY,4/23/2021,https://cdoc.colorado.gov/resources/covid-19-faq-and-updates,402,,0,,519,360,38.42976983,-105.1478509
state,Colorado,FREMONT CORRECTIONAL FACILITY,4/23/2021,https://cdoc.colorado.gov/resources/covid-19-faq-and-updates,770,,4,,1622,1152,38.4226424,-105.161617
state,Colorado,LA VISTA CORRECTIONAL FACILITY,4/23/2021,https://cdoc.colorado.gov/resources/covid-19-faq-and-updates,15,,0,,694,243,38.28484966,-104.6281974
state,Colorado,LIMON CORRECTIONAL FACILITY,4/23/2021,https://cdoc.colorado.gov/resources/covid-19-faq-and-updates,743,,0,,926,811,39.21808522,-103.6916854
state,Colorado,RIFLE CORRECTIONAL CENTER,4/23/2021,https://cdoc.colorado.gov/resources/covid-19-faq-and-updates,4,,0,,189,112,39.65016626,-107.7790488
state,Colorado,SAN CARLOS CORRECTIONAL FACILITY,4/23/2021,https://cdoc.colorado.gov/resources/covid-19-faq-and-updates,14,,0,,216,192,38.28008753,-104.6317795
state,Colorado,STATEWIDE,4/23/2021,https://www.colorado.gov/pacific/cdoc/covid-19-faq-and-updates,,1706,,,,,,
state,Colorado,STERLING CORRECTIONAL FACILITY,4/23/2021,https://cdoc.colorado.gov/resources/covid-19-faq-and-updates,1447,,10,,2504,1837,40.61123458,-103.1621015
state,Colorado,TRINIDAD CORRECTIONAL FACILITY,4/23/2021,https://cdoc.colorado.gov/resources/covid-19-faq-and-updates,326,,0,,502,306,37.30034613,-104.2866571
state,Colorado,YOUTHFUL OFFENDER SYSTEM,4/23/2021,https://cdoc.colorado.gov/resources/covid-19-faq-and-updates,141,,0,,,7,38.27955439,-104.6274606
state,Connecticut,BRIDGEPORT CORRECTIONAL CENTER,4/23/2021,https://portal.ct.gov/DOC/Common-Elements/Common-Elements/Health-Information-and-Advisories,361,,,,689,651,41.1906143,-73.20106036
state,Connecticut,BROOKLYN CORRECTIONAL INSTITUTION,4/23/2021,https://portal.ct.gov/DOC/Common-Elements/Common-Elements/Health-Information-and-Advisories,157,,,,428,313,41.78416388,-71.95426216
